current
Date 20-05-2025
Start Time 13:50:35
Reaction time (s);Current (A)
0,0;0,510
0,0;0,510
5,0;0,500
10,0;0,510
15,0;0,500
20,0;0,490
25,0;0,490
30,0;0,510
35,0;0,490
40,0;0,500
45,0;0,500
50,0;0,500
55,1;0,500
60,1;0,500
65,1;0,500
70,1;0,500
75,1;0,490
80,1;0,500
85,1;0,490
90,1;0,490
95,1;0,500
100,1;0,500
105,1;0,510
110,1;0,490
115,1;0,500
120,1;0,500
125,1;0,510
130,1;0,500
135,1;0,500
140,1;0,500
145,1;0,500
150,1;0,500
155,2;0,500
160,2;0,510
165,2;0,510
170,2;0,490
175,2;0,500
180,2;3,010
185,2;2,990
190,2;3,000
195,2;3,000
