pH
Date 20-05-2025
Start Time 13:50:35
Reaction time (s);pH
0,0;6,377
0,0;6,377
5,0;6,678
10,0;6,599
15,0;6,712
20,0;6,622
25,0;6,580
30,0;6,518
35,0;6,588
40,0;6,499
45,0;6,529
50,0;6,605
55,1;6,718
60,1;6,700
65,1;6,505
70,1;6,769
75,1;6,623
80,1;6,627
85,1;6,746
90,1;6,567
95,1;6,434
100,1;6,543
105,1;6,552
110,1;6,593
115,1;6,601
120,1;6,501
125,1;6,538
130,1;6,763
135,1;6,608
140,1;6,559
145,1;6,642
150,1;6,488
155,2;6,555
160,2;6,543
165,2;6,915
170,2;6,890
175,2;6,763
180,2;6,983
185,2;7,132
190,2;7,405
195,2;7,904
