pump
Date 20-05-2025
Start Time 13:50:35
Reaction time (s);Pumped (ml)
0,0;0,000
0,0;0,000
5,0;0,000
10,0;0,000
15,0;0,000
20,0;0,000
25,0;0,000
30,0;0,000
35,0;0,000
40,0;0,000
45,0;0,000
50,0;0,000
55,1;0,000
60,1;0,000
65,1;0,000
70,1;0,000
75,1;0,000
80,1;0,000
85,1;0,000
90,1;0,000
95,1;0,000
100,1;0,000
105,1;0,000
110,1;0,000
115,1;0,000
120,1;0,000
125,1;0,000
130,1;0,000
135,1;0,000
140,1;0,000
145,1;0,000
150,1;0,000
155,2;0,000
160,2;0,000
165,2;0,000
170,2;0,000
175,2;0,000
180,2;0,000
185,2;0,000
190,2;0,000
195,2;0,000
