voltage
Date 20-05-2025
Start Time 13:50:35
Reaction time (s);Voltage (V)
0,0;11,980
0,0;11,980
5,0;11,990
10,0;11,980
15,0;12,010
20,0;12,000
25,0;11,990
30,0;12,020
35,0;11,990
40,0;12,010
45,0;11,990
50,0;12,010
55,1;12,020
60,1;12,020
65,1;12,000
70,1;12,000
75,1;12,000
80,1;11,980
85,1;12,010
90,1;12,010
95,1;12,000
100,1;11,980
105,1;12,000
110,1;11,980
115,1;12,000
120,1;11,990
125,1;12,000
130,1;11,990
135,1;12,010
140,1;11,990
145,1;12,000
150,1;11,990
155,2;12,010
160,2;11,990
165,2;12,020
170,2;11,980
175,2;12,020
180,2;17,410
185,2;17,410
190,2;17,410
195,2;17,400
